path,filename,modality,vocal_channel,emotion_id,emotion,emotion_intensity,statement,repetition,actor_id,gender,client_id
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,03-01-03-02-02-02-01.wav,3,1,3,happy,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,03-01-04-01-01-01-01.wav,3,1,4,sad,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,03-01-04-01-01-02-01.wav,3,1,4,sad,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,03-01-04-01-02-01-01.wav,3,1,4,sad,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,03-01-04-01-02-02-01.wav,3,1,4,sad,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,03-01-04-02-01-01-01.wav,3,1,4,sad,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,03-01-04-02-01-02-01.wav,3,1,4,sad,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,03-01-04-02-02-01-01.wav,3,1,4,sad,2,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,03-01-04-02-02-02-01.wav,3,1,4,sad,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,03-01-05-01-01-01-01.wav,3,1,5,angry,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,03-01-05-01-01-02-01.wav,3,1,5,angry,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,03-01-05-01-02-01-01.wav,3,1,5,angry,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,03-01-05-01-02-02-01.wav,3,1,5,angry,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,03-01-05-02-01-01-01.wav,3,1,5,angry,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,03-01-05-02-01-02-01.wav,3,1,5,angry,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,03-01-05-02-02-01-01.wav,3,1,5,angry,2,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,03-01-05-02-02-02-01.wav,3,1,5,angry,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,03-01-06-01-01-01-01.wav,3,1,6,fearful,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,03-01-06-01-01-02-01.wav,3,1,6,fearful,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,03-01-06-01-02-01-01.wav,3,1,6,fearful,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,03-01-06-01-02-02-01.wav,3,1,6,fearful,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,03-01-06-02-01-01-01.wav,3,1,6,fearful,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,03-01-06-02-01-02-01.wav,3,1,6,fearful,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,03-01-06-02-02-01-01.wav,3,1,6,fearful,2,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,03-01-06-02-02-02-01.wav,3,1,6,fearful,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,03-01-07-01-01-01-01.wav,3,1,7,disgust,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,03-01-07-01-01-02-01.wav,3,1,7,disgust,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,03-01-07-01-02-01-01.wav,3,1,7,disgust,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,03-01-07-01-02-02-01.wav,3,1,7,disgust,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,03-01-07-02-01-01-01.wav,3,1,7,disgust,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,03-01-07-02-01-02-01.wav,3,1,7,disgust,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,03-01-07-02-02-01-01.wav,3,1,7,disgust,2,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-02-01.wav,03-01-07-02-02-02-01.wav,3,1,7,disgust,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-01-01.wav,03-01-08-01-01-01-01.wav,3,1,8,surprised,1,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-01-02-01.wav,03-01-08-01-01-02-01.wav,3,1,8,surprised,1,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-01-01.wav,03-01-08-01-02-01-01.wav,3,1,8,surprised,1,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-01-02-02-01.wav,03-01-08-01-02-02-01.wav,3,1,8,surprised,1,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-01-01.wav,03-01-08-02-01-01-01.wav,3,1,8,surprised,2,1,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-01-02-01.wav,03-01-08-02-01-02-01.wav,3,1,8,surprised,2,1,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-01-01.wav,03-01-08-02-02-01-01.wav,3,1,8,surprised,2,2,1,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_01\03-01-08-02-02-02-01.wav,03-01-08-02-02-02-01.wav,3,1,8,surprised,2,2,2,1,male,1
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-01-02.wav,03-01-01-01-01-01-02.wav,3,1,1,neutral,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-01-02-02.wav,03-01-01-01-01-02-02.wav,3,1,1,neutral,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-01-02.wav,03-01-01-01-02-01-02.wav,3,1,1,neutral,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-01-01-02-02-02.wav,03-01-01-01-02-02-02.wav,3,1,1,neutral,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-01-02.wav,03-01-02-01-01-01-02.wav,3,1,2,calm,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-01-02-02.wav,03-01-02-01-01-02-02.wav,3,1,2,calm,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-01-02.wav,03-01-02-01-02-01-02.wav,3,1,2,calm,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-01-02-02-02.wav,03-01-02-01-02-02-02.wav,3,1,2,calm,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-01-02.wav,03-01-02-02-01-01-02.wav,3,1,2,calm,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-01-02-02.wav,03-01-02-02-01-02-02.wav,3,1,2,calm,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-01-02.wav,03-01-02-02-02-01-02.wav,3,1,2,calm,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-02-02-02-02-02.wav,03-01-02-02-02-02-02.wav,3,1,2,calm,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-01-02.wav,03-01-03-01-01-01-02.wav,3,1,3,happy,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-01-02-02.wav,03-01-03-01-01-02-02.wav,3,1,3,happy,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-01-02.wav,03-01-03-01-02-01-02.wav,3,1,3,happy,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-01-02-02-02.wav,03-01-03-01-02-02-02.wav,3,1,3,happy,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-01-02.wav,03-01-03-02-01-01-02.wav,3,1,3,happy,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-01-02-02.wav,03-01-03-02-01-02-02.wav,3,1,3,happy,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-01-02.wav,03-01-03-02-02-01-02.wav,3,1,3,happy,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-03-02-02-02-02.wav,03-01-03-02-02-02-02.wav,3,1,3,happy,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-01-02.wav,03-01-04-01-01-01-02.wav,3,1,4,sad,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-01-02-02.wav,03-01-04-01-01-02-02.wav,3,1,4,sad,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-01-02.wav,03-01-04-01-02-01-02.wav,3,1,4,sad,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-01-02-02-02.wav,03-01-04-01-02-02-02.wav,3,1,4,sad,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,03-01-04-02-01-01-02.wav,3,1,4,sad,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,03-01-04-02-01-02-02.wav,3,1,4,sad,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,03-01-04-02-02-01-02.wav,3,1,4,sad,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,03-01-04-02-02-02-02.wav,3,1,4,sad,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,03-01-05-01-01-01-02.wav,3,1,5,angry,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,03-01-05-01-01-02-02.wav,3,1,5,angry,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,03-01-05-01-02-01-02.wav,3,1,5,angry,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,03-01-05-01-02-02-02.wav,3,1,5,angry,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,03-01-05-02-01-01-02.wav,3,1,5,angry,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,03-01-05-02-01-02-02.wav,3,1,5,angry,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,03-01-05-02-02-01-02.wav,3,1,5,angry,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,03-01-05-02-02-02-02.wav,3,1,5,angry,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,03-01-06-01-01-01-02.wav,3,1,6,fearful,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,03-01-06-01-01-02-02.wav,3,1,6,fearful,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,03-01-06-01-02-01-02.wav,3,1,6,fearful,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,03-01-06-01-02-02-02.wav,3,1,6,fearful,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,03-01-06-02-01-01-02.wav,3,1,6,fearful,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,03-01-06-02-01-02-02.wav,3,1,6,fearful,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,03-01-06-02-02-01-02.wav,3,1,6,fearful,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,03-01-06-02-02-02-02.wav,3,1,6,fearful,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,03-01-07-01-01-01-02.wav,3,1,7,disgust,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,03-01-07-01-01-02-02.wav,3,1,7,disgust,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,03-01-07-01-02-01-02.wav,3,1,7,disgust,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,03-01-07-01-02-02-02.wav,3,1,7,disgust,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,03-01-07-02-01-01-02.wav,3,1,7,disgust,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,03-01-07-02-01-02-02.wav,3,1,7,disgust,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,03-01-07-02-02-01-02.wav,3,1,7,disgust,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,03-01-07-02-02-02-02.wav,3,1,7,disgust,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,03-01-08-01-01-01-02.wav,3,1,8,surprised,1,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,03-01-08-01-01-02-02.wav,3,1,8,surprised,1,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,03-01-08-01-02-01-02.wav,3,1,8,surprised,1,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,03-01-08-01-02-02-02.wav,3,1,8,surprised,1,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,03-01-08-02-01-01-02.wav,3,1,8,surprised,2,1,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,03-01-08-02-01-02-02.wav,3,1,8,surprised,2,1,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,03-01-08-02-02-01-02.wav,3,1,8,surprised,2,2,1,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,03-01-08-02-02-02-02.wav,3,1,8,surprised,2,2,2,2,female,2
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,03-01-01-01-01-01-03.wav,3,1,1,neutral,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,03-01-01-01-01-02-03.wav,3,1,1,neutral,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,03-01-01-01-02-01-03.wav,3,1,1,neutral,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-01-01-02-02-03.wav,03-01-01-01-02-02-03.wav,3,1,1,neutral,1,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-01-03.wav,03-01-02-01-01-01-03.wav,3,1,2,calm,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,03-01-02-01-01-02-03.wav,3,1,2,calm,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-01-03.wav,03-01-02-01-02-01-03.wav,3,1,2,calm,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-01-02-02-03.wav,03-01-02-01-02-02-03.wav,3,1,2,calm,1,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-01-03.wav,03-01-02-02-01-01-03.wav,3,1,2,calm,2,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-01-02-03.wav,03-01-02-02-01-02-03.wav,3,1,2,calm,2,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-01-03.wav,03-01-02-02-02-01-03.wav,3,1,2,calm,2,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-02-02-02-02-03.wav,03-01-02-02-02-02-03.wav,3,1,2,calm,2,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,03-01-03-01-01-01-03.wav,3,1,3,happy,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-01-02-03.wav,03-01-03-01-01-02-03.wav,3,1,3,happy,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-01-03.wav,03-01-03-01-02-01-03.wav,3,1,3,happy,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-01-02-02-03.wav,03-01-03-01-02-02-03.wav,3,1,3,happy,1,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,03-01-03-02-01-01-03.wav,3,1,3,happy,2,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-01-02-03.wav,03-01-03-02-01-02-03.wav,3,1,3,happy,2,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-01-03.wav,03-01-03-02-02-01-03.wav,3,1,3,happy,2,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-03-02-02-02-03.wav,03-01-03-02-02-02-03.wav,3,1,3,happy,2,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-01-03.wav,03-01-04-01-01-01-03.wav,3,1,4,sad,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-01-02-03.wav,03-01-04-01-01-02-03.wav,3,1,4,sad,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-01-03.wav,03-01-04-01-02-01-03.wav,3,1,4,sad,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-01-02-02-03.wav,03-01-04-01-02-02-03.wav,3,1,4,sad,1,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-01-03.wav,03-01-04-02-01-01-03.wav,3,1,4,sad,2,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-01-02-03.wav,03-01-04-02-01-02-03.wav,3,1,4,sad,2,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-01-03.wav,03-01-04-02-02-01-03.wav,3,1,4,sad,2,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-04-02-02-02-03.wav,03-01-04-02-02-02-03.wav,3,1,4,sad,2,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,03-01-05-01-01-01-03.wav,3,1,5,angry,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-01-02-03.wav,03-01-05-01-01-02-03.wav,3,1,5,angry,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-01-03.wav,03-01-05-01-02-01-03.wav,3,1,5,angry,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-01-02-02-03.wav,03-01-05-01-02-02-03.wav,3,1,5,angry,1,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-01-03.wav,03-01-05-02-01-01-03.wav,3,1,5,angry,2,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-01-02-03.wav,03-01-05-02-01-02-03.wav,3,1,5,angry,2,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-01-03.wav,03-01-05-02-02-01-03.wav,3,1,5,angry,2,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-05-02-02-02-03.wav,03-01-05-02-02-02-03.wav,3,1,5,angry,2,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-01-03.wav,03-01-06-01-01-01-03.wav,3,1,6,fearful,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-01-02-03.wav,03-01-06-01-01-02-03.wav,3,1,6,fearful,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-01-03.wav,03-01-06-01-02-01-03.wav,3,1,6,fearful,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-01-02-02-03.wav,03-01-06-01-02-02-03.wav,3,1,6,fearful,1,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-01-03.wav,03-01-06-02-01-01-03.wav,3,1,6,fearful,2,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-01-02-03.wav,03-01-06-02-01-02-03.wav,3,1,6,fearful,2,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-01-03.wav,03-01-06-02-02-01-03.wav,3,1,6,fearful,2,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-06-02-02-02-03.wav,03-01-06-02-02-02-03.wav,3,1,6,fearful,2,2,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-01-03.wav,03-01-07-01-01-01-03.wav,3,1,7,disgust,1,1,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-01-02-03.wav,03-01-07-01-01-02-03.wav,3,1,7,disgust,1,1,2,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,03-01-07-01-02-01-03.wav,3,1,7,disgust,1,2,1,3,male,3
E:\2\Audio_Speech_Actors_01-24\Actor_03\03-01-07-01-02-02-03.wav,03-01-07-01-02-02-03.wav,3,1,7,disgust,1,2,2,3,male,3
